SCHEMA_NAME	TABLE_NAME	FK_COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_CONSTRAINT
EPS	ADDRESS	CHAIN_ID	ADDRESS_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	ADDRESS	CHAIN_ID	ADDRESS_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	ADDRESS	CHAIN_ID	ADDRESS_FK_PATIENT	PATIENT_PK
EPS	ADDRESS	ID_PATIENT	ADDRESS_FK_PATIENT	PATIENT_PK
EPS	ADDRESS	NHIN_ID	ADDRESS_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	ADMIN_UNLOCK_LOG	CHAIN_ID	ADMIN_UNLOCK_LOG_FK_PATIENT	PATIENT_PK
EPS	ADMIN_UNLOCK_LOG	CHAIN_ID	ADMIN_UNLOCK_LOG_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	ADMIN_UNLOCK_LOG	ID_PATIENT	ADMIN_UNLOCK_LOG_FK_PATIENT	PATIENT_PK
EPS	ALLERGY	CHAIN_ID	ALLERGY_FK_PATIENT	PATIENT_PK
EPS	ALLERGY	CHAIN_ID	ALLERGY_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	ALLERGY	CHAIN_ID	ALLERGY_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	ALLERGY	ID_PATIENT	ALLERGY_FK_PATIENT	PATIENT_PK
EPS	ALLERGY	NHIN_ID	ALLERGY_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	ALT_PRESCRIBER	CHAIN_ID	ALT_PRESCRIBER_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	ALT_PRESCRIBER	CHAIN_ID	ALT_PRESCRIBER_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	ALT_PRESCRIBER	NHIN_ID	ALT_PRESCRIBER_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	AUDIT_ACCESS_LOG	CHAIN_ID	AAL_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	AUDIT_MESSAGE_CONTENT	CHAIN_ID	AMC_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	AUDIT_PHI_EVENT_DETAIL	AUDIT_PHI_EVENT_ID	APED_FK_APE	APE_PK
EPS	AUDIT_PHI_EVENT_DETAIL	CHAIN_ID	APED_FK_APE	APE_PK
EPS	CARD	CHAIN_ID	CARD_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	CARD	CHAIN_ID	CARD_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	CARD	NHIN_ID	CARD_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	CHAIN_RX_TX_SHARING_LINK	CHAIN_ID	CHN_RXTX_SHRG_LINK_FK_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	CHAIN_RX_TX_SHARING_LINK	LINKED_CHAIN_ID	CHN_RXTX_SHRG_LINK_FK2_ESCHAIN	EPS_SEC_CHAIN_PK
EPS	COMPOUND_INGREDIENTS	CHAIN_ID	COMPOUND_INGREDIENTS_FK1	EPS_SEC_CHAIN_PK
EPS	COMPOUND_INGREDIENTS	CHAIN_ID	COMPOUND_INGREDIENTS_FK2	RX_TX_PK
EPS	COMPOUND_INGREDIENTS	ID_RX_TX	COMPOUND_INGREDIENTS_FK2	RX_TX_PK
EPS	COMPOUND_INGREDIENT_LOT	CHAIN_ID	COMPOUND_INGREDIENT_LOT_FK1	EPS_SEC_CHAIN_PK
EPS	COMPOUND_INGREDIENT_LOT	CHAIN_ID	COMPOUND_INGREDIENT_LOT_FK2	COMPOUND_INGREDIENTS_PK
EPS	COMPOUND_INGREDIENT_LOT	COMPOUND_INGREDIENT_ID	COMPOUND_INGREDIENT_LOT_FK2	COMPOUND_INGREDIENTS_PK
EPS	COUNSELING_NOTES	CHAIN_ID	COUNSELING_NOTES_FK2	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	COUNSELING_NOTES	CHAIN_ID	COUNSELING_NOTES_FK1	EPS_SEC_CHAIN_PK
EPS	COUNSELING_NOTES	NHIN_ID	COUNSELING_NOTES_FK2	EPS_SEC_STORE_UQ_CHAIN_STORE
EPS	CROSS_CHAIN_LAST_SELECTED	CHAIN_ID	CCHN_LAST_SELECTED_FK_ESSTORE	EPS_SEC_STORE_UQ_CHAIN_STORE
