TABLE_NAME	PARTITIONING_TYPE	SUBPARTITIONING_TYPE	PARTITION_COUNT	SUBPARTITION_COUNT	PARTITION_COLUMN
PATIENT_CARE_PROVIDER	LIST	NONE	164	0	CHAIN_ID
PATIENT_CARE_PROVIDER_AUDIT_CSD_23800	LIST	NONE	164	0	CHAIN_ID
ADDRESS	LIST	NONE	163	0	CHAIN_ID
ADMIN_UNLOCK_LOG	LIST	NONE	163	0	CHAIN_ID
ALLERGY	LIST	NONE	163	0	CHAIN_ID
ALT_PRESCRIBER	LIST	NONE	163	0	CHAIN_ID
CARD	LIST	NONE	163	0	CHAIN_ID
COMPOUND_INGREDIENTS	LIST	NONE	163	0	CHAIN_ID
COUNSELING_NOTES	LIST	NONE	163	0	CHAIN_ID
DISEASE	LIST	NONE	163	0	CHAIN_ID
EMAIL	LIST	NONE	163	0	CHAIN_ID
FDB_PATIENT_ALLERGY	LIST	NONE	163	0	CHAIN_ID
FDB_PATIENT_ALLERGY_REACTION	LIST	NONE	163	0	CHAIN_ID
FOLLOW_UP_PRESCRIBER	LIST	NONE	163	0	CHAIN_ID
FREE_FORM_ALLERGY	LIST	NONE	163	0	CHAIN_ID
IDGEN	LIST	NONE	163	0	CHAIN_ID
INTAKE_SOURCES	LIST	NONE	163	0	CHAIN_ID
KP_RXNUM_REF	LIST	NONE	163	0	CHAIN_ID
LINE_ITEM	LIST	NONE	163	0	CHAIN_ID
MATCH_KEY	LIST	NONE	163	0	CHAIN_ID
MEDICAL_CONDITION	LIST	NONE	163	0	CHAIN_ID
MEDICAL_CONDITION_AUDIT_CSD_23800	LIST	NONE	163	0	CHAIN_ID
MOD_PCM	LIST	NONE	163	0	CHAIN_ID
MRN	LIST	NONE	163	0	CHAIN_ID
MTM_PATIENT_ANSWERS	LIST	NONE	163	0	CHAIN_ID
MTM_PATIENT_SESSION	LIST	NONE	163	0	CHAIN_ID
PACKAGE_INFO	LIST	NONE	163	0	CHAIN_ID
PATIENT	LIST	NONE	163	0	CHAIN_ID
PATIENT_CREDIT_CARD	LIST	NONE	163	0	CHAIN_ID
PATIENT_DOCUMENT	LIST	NONE	163	0	CHAIN_ID
PATIENT_EMERGENCY_CONTACT	LIST	NONE	163	0	CHAIN_ID
PATIENT_EMERGENCY_CONT_AUDIT_CSD_23800	LIST	NONE	163	0	CHAIN_ID
PATIENT_MO_CONSENT	LIST	NONE	163	0	CHAIN_ID
PATIENT_NOTES	LIST	NONE	163	0	CHAIN_ID
PATIENT_PROGRAM	LIST	NONE	163	0	CHAIN_ID
PATIENT_PROGRAM_AUDIT_CSD_23800	LIST	NONE	163	0	CHAIN_ID
PATIENT_PROGRAM_CONTACT	LIST	NONE	163	0	CHAIN_ID
PATIENT_PROGRAM_CONTACT_AUDIT_CSD_23800	LIST	NONE	163	0	CHAIN_ID
PATIENT_SIGNATURES	LIST	NONE	163	0	CHAIN_ID
PATIENT_UNMERGE_LOCK	LIST	NONE	163	0	CHAIN_ID
PAYMENT	LIST	NONE	163	0	CHAIN_ID
PA_NUM	LIST	NONE	163	0	CHAIN_ID
PRESCRIBER	LIST	NONE	163	0	CHAIN_ID
PRIOR_ADVERSE_REACTION	LIST	NONE	163	0	CHAIN_ID
PRIOR_ADVERSE_REACTION_AUDIT_CSD_23800	LIST	NONE	163	0	CHAIN_ID
QUEUECOMMAND	LIST	NONE	163	0	CHAIN_ID
RENAL_MEASUREMENT	LIST	NONE	163	0	CHAIN_ID
RX_TX	LIST	NONE	163	0	CHAIN_ID
RX_TX_DIAGNOSIS_CODES	LIST	NONE	163	0	CHAIN_ID
RX_TX_DUR_LIST	LIST	NONE	163	0	CHAIN_ID
RX_TX_PAYMENT	LIST	NONE	163	0	CHAIN_ID
RX_TX_SIG_STRUCTURED_PART	LIST	NONE	163	0	CHAIN_ID
SIGNATURE	LIST	NONE	163	0	CHAIN_ID
TELEPHONE	LIST	NONE	163	0	CHAIN_ID
TP_LINK	LIST	NONE	163	0	CHAIN_ID
TX_CRED	LIST	NONE	163	0	CHAIN_ID
TX_LOT	LIST	NONE	163	0	CHAIN_ID
TX_TP	LIST	NONE	163	0	CHAIN_ID
VERSION	LIST	NONE	163	0	CHAIN_ID
VIAL_INFO	LIST	NONE	163	0	CHAIN_ID
VISUALLY_IMPAIRED_DETAIL	LIST	NONE	163	0	CHAIN_ID
WORKMANS_COMP	LIST	NONE	163	0	CHAIN_ID
PATIENT_AR_ACCOUNT	LIST	NONE	162	0	CHAIN_ID
PATIENT_NOTIFY_SCHEDULE	LIST	NONE	162	0	CHAIN_ID
COMPOUND_INGREDIENT_LOT	LIST	NONE	158	0	CHAIN_ID
PATIENT_MO_CONSENT_AUDIT	LIST	NONE	54	0	CHAIN_ID
VISUALLY_IMPAIRED_DETAIL_AUDIT	LIST	NONE	54	0	CHAIN_ID
