SUBPARTITION_NAME	HIGH_VALUE
REDCROSSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
REDHOOKDRUGSTORE20260610	TIMESTAMP' 2026-06-11 00:00:00'
ROGERSVILLEPHARMACYLLC20260610	TIMESTAMP' 2026-06-11 00:00:00'
RXCOM20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAFEWAY20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAFEWAYHAGGEN20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAMSCLUB20260610	TIMESTAMP' 2026-06-11 00:00:00'
SARALANDPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAUGERTIESPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAVEONDRUGS20260610	TIMESTAMP' 2026-06-11 00:00:00'
SAVMRT20260610	TIMESTAMP' 2026-06-11 00:00:00'
SELAUTOCHAIN555520260610	TIMESTAMP' 2026-06-11 00:00:00'
SETONMEDICALMANAGEMENT20260610	TIMESTAMP' 2026-06-11 00:00:00'
SHOPKO20260610	TIMESTAMP' 2026-06-11 00:00:00'
SMITHSTREETPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
SPRVAL20260610	TIMESTAMP' 2026-06-11 00:00:00'
STLUKE20260610	TIMESTAMP' 2026-06-11 00:00:00'
SULLIVANSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
SUPERVALUINC20260610	TIMESTAMP' 2026-06-11 00:00:00'
TCUHEALTHCENTER20260610	TIMESTAMP' 2026-06-11 00:00:00'
THEPRESCRIPTIONSHOP20260610	TIMESTAMP' 2026-06-11 00:00:00'
TRANSI20260610	TIMESTAMP' 2026-06-11 00:00:00'
TRIUNITYPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
UNIONPACIFICRR20260610	TIMESTAMP' 2026-06-11 00:00:00'
UNITEDS20260610	TIMESTAMP' 2026-06-11 00:00:00'
VELOCE20260610	TIMESTAMP' 2026-06-11 00:00:00'
WALGREENSCO20260610	TIMESTAMP' 2026-06-11 00:00:00'
WEBSCR20260610	TIMESTAMP' 2026-06-11 00:00:00'
WEIS20260610	TIMESTAMP' 2026-06-11 00:00:00'
WENTWORTHDOUGLASS20260610	TIMESTAMP' 2026-06-11 00:00:00'
WESTBURY_PHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
WESTERNPHARMACYGROUP20260610	TIMESTAMP' 2026-06-11 00:00:00'
WESTMAIN20260610	TIMESTAMP' 2026-06-11 00:00:00'
WINNDIXIE20260610	TIMESTAMP' 2026-06-11 00:00:00'
YORKPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
DAHLS20260610	TIMESTAMP' 2026-06-11 00:00:00'
DANTESCHAIN803020260610	TIMESTAMP' 2026-06-11 00:00:00'
DARBYS20260610	TIMESTAMP' 2026-06-11 00:00:00'
DERMSERVLLC20260610	TIMESTAMP' 2026-06-11 00:00:00'
DOUGHERTYSPHARMACYINC20260610	TIMESTAMP' 2026-06-11 00:00:00'
DUMMY20260610	TIMESTAMP' 2026-06-11 00:00:00'
EAGLESCRIPTSAPOTHECARY20260610	TIMESTAMP' 2026-06-11 00:00:00'
ECOM20260610	TIMESTAMP' 2026-06-11 00:00:00'
EHRCC20260610	TIMESTAMP' 2026-06-11 00:00:00'
EISNERMEDICAL20260610	TIMESTAMP' 2026-06-11 00:00:00'
ENTERPRISEBICHAIN20260610	TIMESTAMP' 2026-06-11 00:00:00'
EPSDEV707720260610	TIMESTAMP' 2026-06-11 00:00:00'
EXPRESSRX20260610	TIMESTAMP' 2026-06-11 00:00:00'
FLEXCAREPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
FREDS20260610	TIMESTAMP' 2026-06-11 00:00:00'
FRESENIUSMEDICALCARE20260610	TIMESTAMP' 2026-06-11 00:00:00'
FRUTH20260610	TIMESTAMP' 2026-06-11 00:00:00'
GEAGLE20260610	TIMESTAMP' 2026-06-11 00:00:00'
GELSONSMARKETS20260610	TIMESTAMP' 2026-06-11 00:00:00'
GENRXCORPORATION20260610	TIMESTAMP' 2026-06-11 00:00:00'
GIANTEAGLETRNRXTESTING20260610	TIMESTAMP' 2026-06-11 00:00:00'
GILLETTE20260610	TIMESTAMP' 2026-06-11 00:00:00'
GRUBBSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
GUNDER20260610	TIMESTAMP' 2026-06-11 00:00:00'
GUNDERSENDEGENBERGLUND20260610	TIMESTAMP' 2026-06-11 00:00:00'
HAGGEN20260610	TIMESTAMP' 2026-06-11 00:00:00'
HANNAF20260610	TIMESTAMP' 2026-06-11 00:00:00'
HEALTHSCRIPTS20260610	TIMESTAMP' 2026-06-11 00:00:00'
HOMETOWNSUPERMARKETS20260610	TIMESTAMP' 2026-06-11 00:00:00'
INDIANA_UNIVERSITY_HEA20260610	TIMESTAMP' 2026-06-11 00:00:00'
JACKSONPACEPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
JERRYSCHAIN803320260610	TIMESTAMP' 2026-06-11 00:00:00'
KELLERAPOTHECARY20260610	TIMESTAMP' 2026-06-11 00:00:00'
KENMOREPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
KINSLEYDRUG20260610	TIMESTAMP' 2026-06-11 00:00:00'
KMART20260610	TIMESTAMP' 2026-06-11 00:00:00'
LAURELHEIGHTSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
LILYSCHAIN803420260610	TIMESTAMP' 2026-06-11 00:00:00'
LINDENWOODDRUG20260610	TIMESTAMP' 2026-06-11 00:00:00'
LITTLECREEKDRUGSMITH20260610	TIMESTAMP' 2026-06-11 00:00:00'
LITTLECREEKDRUGSOUTH20260610	TIMESTAMP' 2026-06-11 00:00:00'
LONEST20260610	TIMESTAMP' 2026-06-11 00:00:00'
LOWELL20260610	TIMESTAMP' 2026-06-11 00:00:00'
LUNDSBY20260610	TIMESTAMP' 2026-06-11 00:00:00'
MEDI20260610	TIMESTAMP' 2026-06-11 00:00:00'
MEDICINECHESTPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
MEDSHP20260610	TIMESTAMP' 2026-06-11 00:00:00'
MEIJER20260610	TIMESTAMP' 2026-06-11 00:00:00'
MOBIMEDSINC20260610	TIMESTAMP' 2026-06-11 00:00:00'
NAMBEDRUGSLOSALAMOS20260610	TIMESTAMP' 2026-06-11 00:00:00'
NEIGHBORHOODHEALTHCARE20260610	TIMESTAMP' 2026-06-11 00:00:00'
NEKOSDEDRICKSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
OTHER20260610	TIMESTAMP' 2026-06-11 00:00:00'
OUTRIGGERS20260610	TIMESTAMP' 2026-06-11 00:00:00'
PCHS20260610	TIMESTAMP' 2026-06-11 00:00:00'
PDXQA400020260610	TIMESTAMP' 2026-06-11 00:00:00'
PDXQA500020260610	TIMESTAMP' 2026-06-11 00:00:00'
PERFORMANCECHAIN200020260610	TIMESTAMP' 2026-06-11 00:00:00'
PHARMACA20260610	TIMESTAMP' 2026-06-11 00:00:00'
PHARMACARE20260610	TIMESTAMP' 2026-06-11 00:00:00'
PHARMACYARTS20260610	TIMESTAMP' 2026-06-11 00:00:00'
PHILSPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
PRIMARYHEALTHCARE20260610	TIMESTAMP' 2026-06-11 00:00:00'
PRIMEMARTPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
ACMEHQ20260610	TIMESTAMP' 2026-06-11 00:00:00'
AKINSDRUGSTORE20260610	TIMESTAMP' 2026-06-11 00:00:00'
ALBERT20260610	TIMESTAMP' 2026-06-11 00:00:00'
ALBSAFEWAY20260610	TIMESTAMP' 2026-06-11 00:00:00'
AMBULATORYCARE20260610	TIMESTAMP' 2026-06-11 00:00:00'
AMSLERPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
ANDOVERAPOTHECARY20260610	TIMESTAMP' 2026-06-11 00:00:00'
APOTHERCARY20260610	TIMESTAMP' 2026-06-11 00:00:00'
ARCHQACHAIN600020260610	TIMESTAMP' 2026-06-11 00:00:00'
ARUNDELPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
AVELLA20260610	TIMESTAMP' 2026-06-11 00:00:00'
BEST20260610	TIMESTAMP' 2026-06-11 00:00:00'
BOICEVILLEPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
BURKLOW20260610	TIMESTAMP' 2026-06-11 00:00:00'
CACTUSDRUG20260610	TIMESTAMP' 2026-06-11 00:00:00'
CANOHEALTH20260610	TIMESTAMP' 2026-06-11 00:00:00'
CAREMEDPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
CARERXOFFSHORE20260610	TIMESTAMP' 2026-06-11 00:00:00'
CENTRALVALLEYMEDICAL20260610	TIMESTAMP' 2026-06-11 00:00:00'
CIRCLE_RXINC20260610	TIMESTAMP' 2026-06-11 00:00:00'
COLUMBIAVALLEY20260610	TIMESTAMP' 2026-06-11 00:00:00'
COSTCO20260610	TIMESTAMP' 2026-06-11 00:00:00'
COSTCOWESTFARGOPHARM20260610	TIMESTAMP' 2026-06-11 00:00:00'
COVANCEPHARMACY20260610	TIMESTAMP' 2026-06-11 00:00:00'
CROSSCHAIN120260610	TIMESTAMP' 2026-06-11 00:00:00'
CROSSCHAIN220260610	TIMESTAMP' 2026-06-11 00:00:00'
CROSSCHAIN320260610	TIMESTAMP' 2026-06-11 00:00:00'
CROSSCHAIN420260610	TIMESTAMP' 2026-06-11 00:00:00'
CROSSCHAINPDXSH0520260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN700220260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN700720260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN701020260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800020260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800120260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800220260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800320260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800420260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800520260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800620260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800720260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800820260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN800920260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN801020260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN801120260610	TIMESTAMP' 2026-06-11 00:00:00'
CSQATESTCHAIN801220260610	TIMESTAMP' 2026-06-11 00:00:00'
