TABLE_NAME	PARTITIONING_TYPE	SUBPARTITIONING_TYPE	PARTITION_COUNT	SUBPARTITION_COUNT	PARTITION_COLUMN
AUDIT_ACCESS_LOG	LIST	RANGE	163	6,031	CHAIN_ID
AUDIT_MESSAGE_CONTENT	LIST	RANGE	163	6,031	CHAIN_ID
ADDRESS_AUDIT	LIST	RANGE	163	489	CHAIN_ID
ALLERGY_AUDIT	LIST	RANGE	163	489	CHAIN_ID
ALT_PRESCRIBER_AUDIT	LIST	RANGE	163	489	CHAIN_ID
CARD_AUDIT	LIST	RANGE	163	489	CHAIN_ID
CHAIN_RX_TX_SHARING_LINK_AUDIT	LIST	RANGE	163	489	CHAIN_ID
COMPOUND_INGREDIENTS_AUDIT	LIST	RANGE	163	489	CHAIN_ID
COUNSELING_NOTES_AUDIT	LIST	RANGE	163	489	CHAIN_ID
DISEASE_AUDIT	LIST	RANGE	163	489	CHAIN_ID
EMAIL_AUDIT	LIST	RANGE	163	489	CHAIN_ID
FDB_PATIENT_ALLERGY_AUDIT	LIST	RANGE	163	489	CHAIN_ID
FDB_PAT_ALLERGY_REACTION_AUDIT	LIST	RANGE	163	489	CHAIN_ID
FOLLOW_UP_PRESCRIBER_AUDIT	LIST	RANGE	163	489	CHAIN_ID
FREE_FORM_ALLERGY_AUDIT	LIST	RANGE	163	489	CHAIN_ID
KP_RXNUM_REF_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MATCH_KEY_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MEDICAL_CONDITION_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MOD_PCM_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MRN_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MTM_PATIENT_ANSWERS_AUDIT	LIST	RANGE	163	489	CHAIN_ID
MTM_PATIENT_SESSION_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PACKAGE_INFO_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_CARE_PROVIDER_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_CREDIT_CARD_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_EMERGENCY_CONT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_NOTES_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_PROGRAM_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_PROGRAM_CONTACT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_SIGNATURES_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PAYMENT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PA_NUM_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PRESCRIBER_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PRIOR_ADVERSE_REACTION_AUDIT	LIST	RANGE	163	489	CHAIN_ID
RTSSP_AUDIT	LIST	RANGE	163	489	CHAIN_ID
RX_TX_AUDIT	LIST	RANGE	163	489	CHAIN_ID
RX_TX_DIAGNOSIS_CODES_AUDIT	LIST	RANGE	163	489	CHAIN_ID
RX_TX_DUR_LIST_AUDIT	LIST	RANGE	163	489	CHAIN_ID
RX_TX_PAYMENT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
SIGNATURE_AUDIT	LIST	RANGE	163	489	CHAIN_ID
TELEPHONE_AUDIT	LIST	RANGE	163	489	CHAIN_ID
TP_LINK_AUDIT	LIST	RANGE	163	489	CHAIN_ID
TX_CRED_AUDIT	LIST	RANGE	163	489	CHAIN_ID
TX_LOT_AUDIT	LIST	RANGE	163	489	CHAIN_ID
TX_TP_AUDIT	LIST	RANGE	163	489	CHAIN_ID
VIAL_INFO_AUDIT	LIST	RANGE	163	489	CHAIN_ID
WORKMANS_COMP_AUDIT	LIST	RANGE	163	489	CHAIN_ID
PATIENT_AR_ACCOUNT_AUDIT	LIST	RANGE	162	486	CHAIN_ID
RENAL_MEASUREMENT_AUDIT	LIST	RANGE	52	156	CHAIN_ID
PATIENT_NOTIFY_SCHEDULE_AUDIT	LIST	RANGE	51	153	CHAIN_ID
