SUBPARTITION_NAME	HIGH_VALUE
AVELLA202406	TIMESTAMP' 2024-07-01 00:00:00'
AVELLA202407	TIMESTAMP' 2024-08-01 00:00:00'
AVELLA202408	TIMESTAMP' 2024-09-01 00:00:00'
AVELLA202409	TIMESTAMP' 2024-10-01 00:00:00'
AVELLA202410	TIMESTAMP' 2024-11-01 00:00:00'
AVELLA202411	TIMESTAMP' 2024-12-01 00:00:00'
AVELLA202412	TIMESTAMP' 2025-01-01 00:00:00'
AVELLA202501	TIMESTAMP' 2025-02-01 00:00:00'
AVELLA202502	TIMESTAMP' 2025-03-01 00:00:00'
AVELLA202503	TIMESTAMP' 2025-04-01 00:00:00'
AVELLA202504	TIMESTAMP' 2025-05-01 00:00:00'
AVELLA202505	TIMESTAMP' 2025-06-01 00:00:00'
AVELLA202506	TIMESTAMP' 2025-07-01 00:00:00'
AVELLA202507	TIMESTAMP' 2025-08-01 00:00:00'
AVELLA202508	TIMESTAMP' 2025-09-01 00:00:00'
AVELLA202509	TIMESTAMP' 2025-10-01 00:00:00'
AVELLA202510	TIMESTAMP' 2025-11-01 00:00:00'
AVELLA202511	TIMESTAMP' 2025-12-01 00:00:00'
AVELLA202512	TIMESTAMP' 2026-01-01 00:00:00'
AVELLA202601	TIMESTAMP' 2026-02-01 00:00:00'
AVELLA202602	TIMESTAMP' 2026-03-01 00:00:00'
AVELLA202603	TIMESTAMP' 2026-04-01 00:00:00'
AVELLA202604	TIMESTAMP' 2026-05-01 00:00:00'
AVELLA202605	TIMESTAMP' 2026-06-01 00:00:00'
AVELLA202606	TIMESTAMP' 2026-07-01 00:00:00'
AVELLA202607	TIMESTAMP' 2026-08-01 00:00:00'
AVELLA202608	TIMESTAMP' 2026-09-01 00:00:00'
AVELLA202609	TIMESTAMP' 2026-10-01 00:00:00'
AVELLA202610	TIMESTAMP' 2026-11-01 00:00:00'
AVELLA202611	TIMESTAMP' 2026-12-01 00:00:00'
AVELLA202612	TIMESTAMP' 2027-01-01 00:00:00'
AVELLA202701	TIMESTAMP' 2027-02-01 00:00:00'
AVELLA_DEFAULT	MAXVALUE
COSTCO202406	TIMESTAMP' 2024-07-01 00:00:00'
COSTCO202407	TIMESTAMP' 2024-08-01 00:00:00'
COSTCO202408	TIMESTAMP' 2024-09-01 00:00:00'
COSTCO202409	TIMESTAMP' 2024-10-01 00:00:00'
COSTCO202410	TIMESTAMP' 2024-11-01 00:00:00'
COSTCO202411	TIMESTAMP' 2024-12-01 00:00:00'
COSTCO202412	TIMESTAMP' 2025-01-01 00:00:00'
COSTCO202501	TIMESTAMP' 2025-02-01 00:00:00'
COSTCO202502	TIMESTAMP' 2025-03-01 00:00:00'
COSTCO202503	TIMESTAMP' 2025-04-01 00:00:00'
COSTCO202504	TIMESTAMP' 2025-05-01 00:00:00'
COSTCO202505	TIMESTAMP' 2025-06-01 00:00:00'
COSTCO202506	TIMESTAMP' 2025-07-01 00:00:00'
COSTCO202507	TIMESTAMP' 2025-08-01 00:00:00'
COSTCO202508	TIMESTAMP' 2025-09-01 00:00:00'
COSTCO202509	TIMESTAMP' 2025-10-01 00:00:00'
COSTCO202510	TIMESTAMP' 2025-11-01 00:00:00'
COSTCO202511	TIMESTAMP' 2025-12-01 00:00:00'
COSTCO202512	TIMESTAMP' 2026-01-01 00:00:00'
COSTCO202601	TIMESTAMP' 2026-02-01 00:00:00'
COSTCO202602	TIMESTAMP' 2026-03-01 00:00:00'
COSTCO202603	TIMESTAMP' 2026-04-01 00:00:00'
COSTCO202604	TIMESTAMP' 2026-05-01 00:00:00'
COSTCO202605	TIMESTAMP' 2026-06-01 00:00:00'
COSTCO202606	TIMESTAMP' 2026-07-01 00:00:00'
COSTCO202607	TIMESTAMP' 2026-08-01 00:00:00'
COSTCO202608	TIMESTAMP' 2026-09-01 00:00:00'
COSTCO202609	TIMESTAMP' 2026-10-01 00:00:00'
COSTCO202610	TIMESTAMP' 2026-11-01 00:00:00'
COSTCO202611	TIMESTAMP' 2026-12-01 00:00:00'
COSTCO202612	TIMESTAMP' 2027-01-01 00:00:00'
COSTCO202701	TIMESTAMP' 2027-02-01 00:00:00'
COSTCO_DEFAULT	MAXVALUE
CUBPHARMACY202406	TIMESTAMP' 2024-07-01 00:00:00'
CUBPHARMACY202407	TIMESTAMP' 2024-08-01 00:00:00'
CUBPHARMACY202408	TIMESTAMP' 2024-09-01 00:00:00'
CUBPHARMACY202409	TIMESTAMP' 2024-10-01 00:00:00'
CUBPHARMACY202410	TIMESTAMP' 2024-11-01 00:00:00'
CUBPHARMACY202411	TIMESTAMP' 2024-12-01 00:00:00'
CUBPHARMACY202412	TIMESTAMP' 2025-01-01 00:00:00'
CUBPHARMACY202501	TIMESTAMP' 2025-02-01 00:00:00'
CUBPHARMACY202502	TIMESTAMP' 2025-03-01 00:00:00'
CUBPHARMACY202503	TIMESTAMP' 2025-04-01 00:00:00'
CUBPHARMACY202504	TIMESTAMP' 2025-05-01 00:00:00'
CUBPHARMACY202505	TIMESTAMP' 2025-06-01 00:00:00'
CUBPHARMACY202506	TIMESTAMP' 2025-07-01 00:00:00'
CUBPHARMACY202507	TIMESTAMP' 2025-08-01 00:00:00'
CUBPHARMACY202508	TIMESTAMP' 2025-09-01 00:00:00'
CUBPHARMACY202509	TIMESTAMP' 2025-10-01 00:00:00'
CUBPHARMACY202510	TIMESTAMP' 2025-11-01 00:00:00'
CUBPHARMACY202511	TIMESTAMP' 2025-12-01 00:00:00'
CUBPHARMACY202512	TIMESTAMP' 2026-01-01 00:00:00'
CUBPHARMACY202601	TIMESTAMP' 2026-02-01 00:00:00'
CUBPHARMACY202602	TIMESTAMP' 2026-03-01 00:00:00'
CUBPHARMACY202603	TIMESTAMP' 2026-04-01 00:00:00'
CUBPHARMACY202604	TIMESTAMP' 2026-05-01 00:00:00'
CUBPHARMACY202605	TIMESTAMP' 2026-06-01 00:00:00'
CUBPHARMACY202606	TIMESTAMP' 2026-07-01 00:00:00'
CUBPHARMACY202607	TIMESTAMP' 2026-08-01 00:00:00'
CUBPHARMACY202608	TIMESTAMP' 2026-09-01 00:00:00'
CUBPHARMACY202609	TIMESTAMP' 2026-10-01 00:00:00'
CUBPHARMACY202610	TIMESTAMP' 2026-11-01 00:00:00'
CUBPHARMACY202611	TIMESTAMP' 2026-12-01 00:00:00'
CUBPHARMACY202612	TIMESTAMP' 2027-01-01 00:00:00'
CUBPHARMACY202701	TIMESTAMP' 2027-02-01 00:00:00'
CUBPHARMACY_DEFAULT	MAXVALUE
FRUTH202406	TIMESTAMP' 2024-07-01 00:00:00'
FRUTH202407	TIMESTAMP' 2024-08-01 00:00:00'
FRUTH202408	TIMESTAMP' 2024-09-01 00:00:00'
FRUTH202409	TIMESTAMP' 2024-10-01 00:00:00'
FRUTH202410	TIMESTAMP' 2024-11-01 00:00:00'
FRUTH202411	TIMESTAMP' 2024-12-01 00:00:00'
FRUTH202412	TIMESTAMP' 2025-01-01 00:00:00'
FRUTH202501	TIMESTAMP' 2025-02-01 00:00:00'
FRUTH202502	TIMESTAMP' 2025-03-01 00:00:00'
FRUTH202503	TIMESTAMP' 2025-04-01 00:00:00'
FRUTH202504	TIMESTAMP' 2025-05-01 00:00:00'
FRUTH202505	TIMESTAMP' 2025-06-01 00:00:00'
FRUTH202506	TIMESTAMP' 2025-07-01 00:00:00'
FRUTH202507	TIMESTAMP' 2025-08-01 00:00:00'
FRUTH202508	TIMESTAMP' 2025-09-01 00:00:00'
FRUTH202509	TIMESTAMP' 2025-10-01 00:00:00'
FRUTH202510	TIMESTAMP' 2025-11-01 00:00:00'
FRUTH202511	TIMESTAMP' 2025-12-01 00:00:00'
FRUTH202512	TIMESTAMP' 2026-01-01 00:00:00'
FRUTH202601	TIMESTAMP' 2026-02-01 00:00:00'
FRUTH202602	TIMESTAMP' 2026-03-01 00:00:00'
FRUTH202603	TIMESTAMP' 2026-04-01 00:00:00'
FRUTH202604	TIMESTAMP' 2026-05-01 00:00:00'
FRUTH202605	TIMESTAMP' 2026-06-01 00:00:00'
FRUTH202606	TIMESTAMP' 2026-07-01 00:00:00'
FRUTH202607	TIMESTAMP' 2026-08-01 00:00:00'
FRUTH202608	TIMESTAMP' 2026-09-01 00:00:00'
FRUTH202609	TIMESTAMP' 2026-10-01 00:00:00'
FRUTH202610	TIMESTAMP' 2026-11-01 00:00:00'
FRUTH202611	TIMESTAMP' 2026-12-01 00:00:00'
FRUTH202612	TIMESTAMP' 2027-01-01 00:00:00'
FRUTH202701	TIMESTAMP' 2027-02-01 00:00:00'
FRUTH_DEFAULT	MAXVALUE
GIANTEAGLE202406	TIMESTAMP' 2024-07-01 00:00:00'
GIANTEAGLE202407	TIMESTAMP' 2024-08-01 00:00:00'
GIANTEAGLE202408	TIMESTAMP' 2024-09-01 00:00:00'
GIANTEAGLE202409	TIMESTAMP' 2024-10-01 00:00:00'
GIANTEAGLE202410	TIMESTAMP' 2024-11-01 00:00:00'
GIANTEAGLE202411	TIMESTAMP' 2024-12-01 00:00:00'
GIANTEAGLE202412	TIMESTAMP' 2025-01-01 00:00:00'
GIANTEAGLE202501	TIMESTAMP' 2025-02-01 00:00:00'
GIANTEAGLE202502	TIMESTAMP' 2025-03-01 00:00:00'
GIANTEAGLE202503	TIMESTAMP' 2025-04-01 00:00:00'
GIANTEAGLE202504	TIMESTAMP' 2025-05-01 00:00:00'
GIANTEAGLE202505	TIMESTAMP' 2025-06-01 00:00:00'
GIANTEAGLE202506	TIMESTAMP' 2025-07-01 00:00:00'
GIANTEAGLE202507	TIMESTAMP' 2025-08-01 00:00:00'
GIANTEAGLE202508	TIMESTAMP' 2025-09-01 00:00:00'
GIANTEAGLE202509	TIMESTAMP' 2025-10-01 00:00:00'
GIANTEAGLE202510	TIMESTAMP' 2025-11-01 00:00:00'
GIANTEAGLE202511	TIMESTAMP' 2025-12-01 00:00:00'
GIANTEAGLE202512	TIMESTAMP' 2026-01-01 00:00:00'
GIANTEAGLE202601	TIMESTAMP' 2026-02-01 00:00:00'
GIANTEAGLE202602	TIMESTAMP' 2026-03-01 00:00:00'
GIANTEAGLE202603	TIMESTAMP' 2026-04-01 00:00:00'
GIANTEAGLE202604	TIMESTAMP' 2026-05-01 00:00:00'
GIANTEAGLE202605	TIMESTAMP' 2026-06-01 00:00:00'
GIANTEAGLE202606	TIMESTAMP' 2026-07-01 00:00:00'
GIANTEAGLE202607	TIMESTAMP' 2026-08-01 00:00:00'
GIANTEAGLE202608	TIMESTAMP' 2026-09-01 00:00:00'
GIANTEAGLE202609	TIMESTAMP' 2026-10-01 00:00:00'
GIANTEAGLE202610	TIMESTAMP' 2026-11-01 00:00:00'
GIANTEAGLE202611	TIMESTAMP' 2026-12-01 00:00:00'
GIANTEAGLE202612	TIMESTAMP' 2027-01-01 00:00:00'
GIANTEAGLE202701	TIMESTAMP' 2027-02-01 00:00:00'
GIANTEAGLE_DEFAULT	MAXVALUE
GUNDERSEN202406	TIMESTAMP' 2024-07-01 00:00:00'
GUNDERSEN202407	TIMESTAMP' 2024-08-01 00:00:00'
GUNDERSEN202408	TIMESTAMP' 2024-09-01 00:00:00'
GUNDERSEN202409	TIMESTAMP' 2024-10-01 00:00:00'
GUNDERSEN202410	TIMESTAMP' 2024-11-01 00:00:00'
GUNDERSEN202411	TIMESTAMP' 2024-12-01 00:00:00'
GUNDERSEN202412	TIMESTAMP' 2025-01-01 00:00:00'
GUNDERSEN202501	TIMESTAMP' 2025-02-01 00:00:00'
GUNDERSEN202502	TIMESTAMP' 2025-03-01 00:00:00'
GUNDERSEN202503	TIMESTAMP' 2025-04-01 00:00:00'
GUNDERSEN202504	TIMESTAMP' 2025-05-01 00:00:00'
GUNDERSEN202505	TIMESTAMP' 2025-06-01 00:00:00'
GUNDERSEN202506	TIMESTAMP' 2025-07-01 00:00:00'
GUNDERSEN202507	TIMESTAMP' 2025-08-01 00:00:00'
GUNDERSEN202508	TIMESTAMP' 2025-09-01 00:00:00'
GUNDERSEN202509	TIMESTAMP' 2025-10-01 00:00:00'
GUNDERSEN202510	TIMESTAMP' 2025-11-01 00:00:00'
GUNDERSEN202511	TIMESTAMP' 2025-12-01 00:00:00'
GUNDERSEN202512	TIMESTAMP' 2026-01-01 00:00:00'
GUNDERSEN202601	TIMESTAMP' 2026-02-01 00:00:00'
GUNDERSEN202602	TIMESTAMP' 2026-03-01 00:00:00'
GUNDERSEN202603	TIMESTAMP' 2026-04-01 00:00:00'
GUNDERSEN202604	TIMESTAMP' 2026-05-01 00:00:00'
GUNDERSEN202605	TIMESTAMP' 2026-06-01 00:00:00'
GUNDERSEN202606	TIMESTAMP' 2026-07-01 00:00:00'
GUNDERSEN202607	TIMESTAMP' 2026-08-01 00:00:00'
GUNDERSEN202608	TIMESTAMP' 2026-09-01 00:00:00'
GUNDERSEN202609	TIMESTAMP' 2026-10-01 00:00:00'
GUNDERSEN202610	TIMESTAMP' 2026-11-01 00:00:00'
GUNDERSEN202611	TIMESTAMP' 2026-12-01 00:00:00'
GUNDERSEN202612	TIMESTAMP' 2027-01-01 00:00:00'
GUNDERSEN202701	TIMESTAMP' 2027-02-01 00:00:00'
GUNDERSEN_DEFAULT	MAXVALUE
KERR202406	TIMESTAMP' 2024-07-01 00:00:00'
KERR202407	TIMESTAMP' 2024-08-01 00:00:00'
KERR202408	TIMESTAMP' 2024-09-01 00:00:00'
KERR202409	TIMESTAMP' 2024-10-01 00:00:00'
KERR202410	TIMESTAMP' 2024-11-01 00:00:00'
KERR202411	TIMESTAMP' 2024-12-01 00:00:00'
KERR202412	TIMESTAMP' 2025-01-01 00:00:00'
KERR202501	TIMESTAMP' 2025-02-01 00:00:00'
KERR202502	TIMESTAMP' 2025-03-01 00:00:00'
KERR202503	TIMESTAMP' 2025-04-01 00:00:00'
KERR202504	TIMESTAMP' 2025-05-01 00:00:00'
KERR202505	TIMESTAMP' 2025-06-01 00:00:00'
KERR202506	TIMESTAMP' 2025-07-01 00:00:00'
KERR202507	TIMESTAMP' 2025-08-01 00:00:00'
KERR202508	TIMESTAMP' 2025-09-01 00:00:00'
KERR202509	TIMESTAMP' 2025-10-01 00:00:00'
KERR202510	TIMESTAMP' 2025-11-01 00:00:00'
KERR202511	TIMESTAMP' 2025-12-01 00:00:00'
KERR202512	TIMESTAMP' 2026-01-01 00:00:00'
KERR202601	TIMESTAMP' 2026-02-01 00:00:00'
KERR202602	TIMESTAMP' 2026-03-01 00:00:00'
KERR202603	TIMESTAMP' 2026-04-01 00:00:00'
KERR202604	TIMESTAMP' 2026-05-01 00:00:00'
KERR202605	TIMESTAMP' 2026-06-01 00:00:00'
KERR202606	TIMESTAMP' 2026-07-01 00:00:00'
KERR202607	TIMESTAMP' 2026-08-01 00:00:00'
KERR202608	TIMESTAMP' 2026-09-01 00:00:00'
KERR202609	TIMESTAMP' 2026-10-01 00:00:00'
KERR202610	TIMESTAMP' 2026-11-01 00:00:00'
KERR202611	TIMESTAMP' 2026-12-01 00:00:00'
KERR202612	TIMESTAMP' 2027-01-01 00:00:00'
KERR202701	TIMESTAMP' 2027-02-01 00:00:00'
MEDICALCENTER202406	TIMESTAMP' 2024-07-01 00:00:00'
MEDICALCENTER202407	TIMESTAMP' 2024-08-01 00:00:00'
MEDICALCENTER202408	TIMESTAMP' 2024-09-01 00:00:00'
MEDICALCENTER202409	TIMESTAMP' 2024-10-01 00:00:00'
MEDICALCENTER202410	TIMESTAMP' 2024-11-01 00:00:00'
MEDICALCENTER202411	TIMESTAMP' 2024-12-01 00:00:00'
MEDICALCENTER202412	TIMESTAMP' 2025-01-01 00:00:00'
MEDICALCENTER202501	TIMESTAMP' 2025-02-01 00:00:00'
MEDICALCENTER202502	TIMESTAMP' 2025-03-01 00:00:00'
MEDICALCENTER202503	TIMESTAMP' 2025-04-01 00:00:00'
MEDICALCENTER202504	TIMESTAMP' 2025-05-01 00:00:00'
MEDICALCENTER202505	TIMESTAMP' 2025-06-01 00:00:00'
MEDICALCENTER202506	TIMESTAMP' 2025-07-01 00:00:00'
MEDICALCENTER202507	TIMESTAMP' 2025-08-01 00:00:00'
MEDICALCENTER202508	TIMESTAMP' 2025-09-01 00:00:00'
MEDICALCENTER202509	TIMESTAMP' 2025-10-01 00:00:00'
MEDICALCENTER202510	TIMESTAMP' 2025-11-01 00:00:00'
MEDICALCENTER202511	TIMESTAMP' 2025-12-01 00:00:00'
MEDICALCENTER202512	TIMESTAMP' 2026-01-01 00:00:00'
MEDICALCENTER202601	TIMESTAMP' 2026-02-01 00:00:00'
MEDICALCENTER202602	TIMESTAMP' 2026-03-01 00:00:00'
MEDICALCENTER202603	TIMESTAMP' 2026-04-01 00:00:00'
MEDICALCENTER202604	TIMESTAMP' 2026-05-01 00:00:00'
MEDICALCENTER202605	TIMESTAMP' 2026-06-01 00:00:00'
MEDICALCENTER202606	TIMESTAMP' 2026-07-01 00:00:00'
MEDICALCENTER202607	TIMESTAMP' 2026-08-01 00:00:00'
MEDICALCENTER202608	TIMESTAMP' 2026-09-01 00:00:00'
MEDICALCENTER202609	TIMESTAMP' 2026-10-01 00:00:00'
MEDICALCENTER202610	TIMESTAMP' 2026-11-01 00:00:00'
MEDICALCENTER202611	TIMESTAMP' 2026-12-01 00:00:00'
MEDICALCENTER202612	TIMESTAMP' 2027-01-01 00:00:00'
MEDICALCENTER202701	TIMESTAMP' 2027-02-01 00:00:00'
MEDICALCENTER_DEFAULT	MAXVALUE
MEIJER202406	TIMESTAMP' 2024-07-01 00:00:00'
MEIJER202407	TIMESTAMP' 2024-08-01 00:00:00'
MEIJER202408	TIMESTAMP' 2024-09-01 00:00:00'
MEIJER202409	TIMESTAMP' 2024-10-01 00:00:00'
MEIJER202410	TIMESTAMP' 2024-11-01 00:00:00'
MEIJER202411	TIMESTAMP' 2024-12-01 00:00:00'
MEIJER202412	TIMESTAMP' 2025-01-01 00:00:00'
MEIJER202501	TIMESTAMP' 2025-02-01 00:00:00'
MEIJER202502	TIMESTAMP' 2025-03-01 00:00:00'
MEIJER202503	TIMESTAMP' 2025-04-01 00:00:00'
MEIJER202504	TIMESTAMP' 2025-05-01 00:00:00'
MEIJER202505	TIMESTAMP' 2025-06-01 00:00:00'
MEIJER202506	TIMESTAMP' 2025-07-01 00:00:00'
MEIJER202507	TIMESTAMP' 2025-08-01 00:00:00'
MEIJER202508	TIMESTAMP' 2025-09-01 00:00:00'
MEIJER202509	TIMESTAMP' 2025-10-01 00:00:00'
MEIJER202510	TIMESTAMP' 2025-11-01 00:00:00'
MEIJER202511	TIMESTAMP' 2025-12-01 00:00:00'
MEIJER202512	TIMESTAMP' 2026-01-01 00:00:00'
MEIJER202601	TIMESTAMP' 2026-02-01 00:00:00'
MEIJER202602	TIMESTAMP' 2026-03-01 00:00:00'
MEIJER202603	TIMESTAMP' 2026-04-01 00:00:00'
MEIJER202604	TIMESTAMP' 2026-05-01 00:00:00'
MEIJER202605	TIMESTAMP' 2026-06-01 00:00:00'
MEIJER202606	TIMESTAMP' 2026-07-01 00:00:00'
MEIJER202607	TIMESTAMP' 2026-08-01 00:00:00'
MEIJER202608	TIMESTAMP' 2026-09-01 00:00:00'
MEIJER202609	TIMESTAMP' 2026-10-01 00:00:00'
MEIJER202610	TIMESTAMP' 2026-11-01 00:00:00'
MEIJER202611	TIMESTAMP' 2026-12-01 00:00:00'
MEIJER202612	TIMESTAMP' 2027-01-01 00:00:00'
MEIJER202701	TIMESTAMP' 2027-02-01 00:00:00'
MEIJER_DEFAULT	MAXVALUE
MOBIMEDS202406	TIMESTAMP' 2024-07-01 00:00:00'
MOBIMEDS202407	TIMESTAMP' 2024-08-01 00:00:00'
MOBIMEDS202408	TIMESTAMP' 2024-09-01 00:00:00'
MOBIMEDS202409	TIMESTAMP' 2024-10-01 00:00:00'
MOBIMEDS202410	TIMESTAMP' 2024-11-01 00:00:00'
MOBIMEDS202411	TIMESTAMP' 2024-12-01 00:00:00'
MOBIMEDS202412	TIMESTAMP' 2025-01-01 00:00:00'
MOBIMEDS202501	TIMESTAMP' 2025-02-01 00:00:00'
MOBIMEDS202502	TIMESTAMP' 2025-03-01 00:00:00'
MOBIMEDS202503	TIMESTAMP' 2025-04-01 00:00:00'
MOBIMEDS202504	TIMESTAMP' 2025-05-01 00:00:00'
MOBIMEDS202505	TIMESTAMP' 2025-06-01 00:00:00'
MOBIMEDS202506	TIMESTAMP' 2025-07-01 00:00:00'
MOBIMEDS202507	TIMESTAMP' 2025-08-01 00:00:00'
MOBIMEDS202508	TIMESTAMP' 2025-09-01 00:00:00'
MOBIMEDS202509	TIMESTAMP' 2025-10-01 00:00:00'
MOBIMEDS202510	TIMESTAMP' 2025-11-01 00:00:00'
MOBIMEDS202511	TIMESTAMP' 2025-12-01 00:00:00'
MOBIMEDS202512	TIMESTAMP' 2026-01-01 00:00:00'
MOBIMEDS202601	TIMESTAMP' 2026-02-01 00:00:00'
MOBIMEDS202602	TIMESTAMP' 2026-03-01 00:00:00'
MOBIMEDS202603	TIMESTAMP' 2026-04-01 00:00:00'
MOBIMEDS202604	TIMESTAMP' 2026-05-01 00:00:00'
MOBIMEDS202605	TIMESTAMP' 2026-06-01 00:00:00'
MOBIMEDS202606	TIMESTAMP' 2026-07-01 00:00:00'
MOBIMEDS202607	TIMESTAMP' 2026-08-01 00:00:00'
MOBIMEDS202608	TIMESTAMP' 2026-09-01 00:00:00'
MOBIMEDS202609	TIMESTAMP' 2026-10-01 00:00:00'
MOBIMEDS202610	TIMESTAMP' 2026-11-01 00:00:00'
MOBIMEDS202611	TIMESTAMP' 2026-12-01 00:00:00'
MOBIMEDS202612	TIMESTAMP' 2027-01-01 00:00:00'
MOBIMEDS202701	TIMESTAMP' 2027-02-01 00:00:00'
MOBIMEDS_DEFAULT	MAXVALUE
NAVARRO202406	TIMESTAMP' 2024-07-01 00:00:00'
NAVARRO202407	TIMESTAMP' 2024-08-01 00:00:00'
