TABLE_NAME	PARTITIONING_TYPE	SUBPARTITIONING_TYPE	PARTITION_COUNT	SUBPARTITION_COUNT	PARTITION_COLUMN
ADDRESSES	LIST	NONE	14	0	TENANT_ID
ADJUSTMENT_GROUP	LIST	RANGE	14	448	TENANT_ID
AUDIT_LOG	LIST	RANGE	14	448	TENANT_ID
BIN_UPC_LINK	LIST	NONE	14	0	TENANT_ID
CARRIER	LIST	NONE	12	0	TENANT_ID
CF_SEC_CHAIN	LIST	NONE	14	0	TENANT_ID
CF_SEC_STORE	LIST	NONE	14	0	TENANT_ID
CHAINS	LIST	NONE	14	0	TENANT_ID
CHARGE_PAYMENT_INFO	LIST	RANGE	15	480	TENANT_ID
CONTACTS	LIST	NONE	14	0	TENANT_ID
CUSTOM_SCHEDULED_TASK	LIST	NONE	13	0	TENANT_ID
DAILY_SCHEDULED_TASKS	LIST	NONE	14	0	TENANT_ID
DASHBOARD_SETTINGS	LIST	NONE	13	0	TENANT_ID
DASHBOARD_STATISTICS	LIST	NONE	13	0	TENANT_ID
DISPENSERS	LIST	NONE	14	0	TENANT_ID
DISPENSER_LOCATION	LIST	NONE	14	0	TENANT_ID
DRUG_ORDERS	LIST	RANGE	14	448	TENANT_ID
DRUG_ORDER_PRODUCT_VERIFY	LIST	RANGE	14	448	TENANT_ID
ENTITIES	LIST	NONE	14	0	TENANT_ID
FACILITIES	LIST	NONE	13	0	TENANT_ID
FILLING_STATION	LIST	NONE	14	0	TENANT_ID
FORMULARY	LIST	NONE	14	0	TENANT_ID
FORMULARY_REORDER	LIST	NONE	14	0	TENANT_ID
INVENTORY	LIST	NONE	14	0	TENANT_ID
INVENTORY_AUDIT	LIST	RANGE	14	448	TENANT_ID
INVENTORY_DATE	LIST	NONE	14	0	TENANT_ID
ITEM_LOCATION	LIST	NONE	14	0	TENANT_ID
LABEL_IMAGES	LIST	NONE	14	0	TENANT_ID
LOCATION	LIST	NONE	14	0	TENANT_ID
MASTER_PRODUCT_PO_VERIFY	LIST	RANGE	14	448	TENANT_ID
MESSAGE_LOG	LIST	RANGE	14	448	TENANT_ID
MONTHLY_SCHEDULED_TASKS	LIST	NONE	14	0	TENANT_ID
ONCE_SCHEDULED_TASKS	LIST	NONE	14	0	TENANT_ID
ORDERS	LIST	RANGE	14	448	TENANT_ID
PHONES	LIST	NONE	14	0	TENANT_ID
PHONE_ADDRESS_OWNERS	LIST	NONE	14	0	TENANT_ID
PRIORITY_CHANGE_ALERTS	LIST	NONE	14	0	TENANT_ID
PURCHASE_ORDER	LIST	RANGE	14	448	TENANT_ID
PURCHASE_ORDER_GROUP	LIST	RANGE	14	448	TENANT_ID
REGION	LIST	NONE	14	0	TENANT_ID
REPORT_REQUEST	LIST	NONE	12	0	TENANT_ID
REPORT_REQUEST_PARAMETER	LIST	NONE	12	0	TENANT_ID
RETAIL_COST	LIST	NONE	14	0	TENANT_ID
RETURN_AND_ADJUSTMENT	LIST	RANGE	14	448	TENANT_ID
RX_CORES	LIST	RANGE	14	448	TENANT_ID
RX_CORES_MIN_DATE	LIST	NONE	14	0	TENANT_ID
RX_DETAILS	LIST	RANGE	14	448	TENANT_ID
RX_DOCUMENTS	LIST	RANGE	14	448	TENANT_ID
RX_IMAGE_DATA	LIST	RANGE	14	448	TENANT_ID
RX_LOTS	LIST	RANGE	14	448	TENANT_ID
RX_PATSTORES	LIST	RANGE	14	448	TENANT_ID
RX_PRINT_CHR	LIST	RANGE	14	462	TENANT_ID
RX_PRINT_INFO	LIST	RANGE	14	448	TENANT_ID
RX_REQUEST_ERROR	LIST	RANGE	14	448	TENANT_ID
RX_SHIPPING_PACKAGES	LIST	RANGE	14	448	TENANT_ID
RX_STATE_TRANSITION	LIST	RANGE	15	480	TENANT_ID
RX_TP_INFO	LIST	RANGE	14	448	TENANT_ID
RX_VIAL_INFOS	LIST	RANGE	14	448	TENANT_ID
RX_WARNING_LABELS	LIST	RANGE	14	448	TENANT_ID
RX_WARNING_LABEL_CODES	LIST	NONE	14	0	TENANT_ID
SCHEDULED_TASKS	LIST	NONE	14	0	TENANT_ID
SHIPMENT	LIST	NONE	14	0	TENANT_ID
SHIP_ITEMS	LIST	NONE	14	0	TENANT_ID
STORES	LIST	NONE	14	0	TENANT_ID
STORE_SHIP_VIA	LIST	NONE	14	0	TENANT_ID
STORE_VENDOR_ACCOUNT	LIST	NONE	14	0	TENANT_ID
SYSTEM_MESSAGES	LIST	RANGE	14	448	TENANT_ID
VENDOR	LIST	NONE	14	0	TENANT_ID
VENDOR_ITEM_PROP	LIST	NONE	14	0	TENANT_ID
VENDOR_PO_CREATE_DAYS	LIST	NONE	13	0	TENANT_ID
VENDOR_PROP	LIST	NONE	14	0	TENANT_ID
WEEKLY_SCHEDULED_TASKS	LIST	NONE	14	0	TENANT_ID
